Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Canon,Y,Japan,"197,673",1937,Fujio Mitarai,CAJ,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,9,"33,064.60",2019,http://global.canon/en/index.html,TDCJ Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,https://www.macrotrends.net/stocks/charts/CAJ/canon/revenue,77
Bridgestone,Y,Japan,"142,669",1931,Masaaki Tsuya,5108-JP,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"32,776.50",2019,https://www.bridgestone.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,78
3M,Y,MN,"93,516",1902,Mike Roman,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,13,"32,136.00",2019,https://www.3m.com/3M/en_US/company-us/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,FactSet,http://news.3m.com/press-release/company-english/3m-sell-its-electronic-monitoring-business-transportation-safety-divis,79
Abbott Laboratories,Y,IL,"103,000",1888,Miles D. White,ABT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Other,n/a,n/a,9,"31,904.00",2019,http://www.abbott.com/,See Alere,n/a,n/a,FactSet,https://www.genomeweb.com/business-news/abbott-completes-alere-acquisition#.WrrwhYjwY2w,80
"Compass Group, The",Y,United Kingdom,"600,000",1929,Dominic Blakemore,CPG-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,Y,n/a,14,"31,304.20",2019,https://www.compass-group.com/en/index.html,"See Canteen Vending Services, Crothall Healthcare",https://worthrises.org/immigration,n/a,FactSet,n/a,81
Time Warner Cable (dba Spectrum),Y,NY,"2,600",1992,n/a,CHTR,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,7,"31,271.00",2017,https://www.spectrum.com/,OH DRC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,https://www.sec.gov/Archives/edgar/data/1105705/000119312518053619/d504160d10k.htm,https://www.reuters.com/article/us-twc-m-a/charter-communications-completes-purchase-of-time-warner-cable-idUSKCN0Y92BR,82
TD Bank,Y,Canada,"85,000",1955,Gregory B. Braca,TD,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"31,145.20",2019,https://www.tdbank.com/,FL DOC Spending,n/a,n/a,FactSet,n/a,83
Air France KLM,Y,France,"81,521",1919,Anne Rigail,AF-FR,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"29,498.70",2019,http://www.airfranceklm.com/en,See Barfield,n/a,n/a,FactSet,http://www.afiklmem.com/AFIKLMEM/en/g_page_standard/OurNetwork/Subsidiaries/Barfield.html,84
Veolia,Y,France,n/a,1853,Antoine Frérot,VIE-FR,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"29,498.40",2019,https://www.veolianorthamerica.com/en/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,85
Schneider Electric,Y,France,"136,624",1838,Jean-Pascal Tricoire,SU-FR,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"29,465.10",2019,https://www.schneider-electric.com/ww/en/,See Summit Energy Services,n/a,n/a,FactSet,http://www2.schneider-electric.com/sites/corporate/en/products-services/former-brands/summit/summit.page,86
Power Corporation of Canada,Y,Canada,n/a,1925,André Desmarais,POW-CA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,"29,335.20",2019,https://www.powercorporation.com/,"See Power Financial Corp, Great-West Lifeco, Putnam Investment Management",n/a,n/a,FactSet,https://www.powerfinancial.com/en/companies/organization-chart/,87
Raytheon Company,Y,MA,n/a,1922,Thomas A. Kennedy,RTN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,Y,n/a,14,"29,176.00",2019,https://www.raytheon.com/,n/a,https://truthout.org/articles/the-booming-business-of-border-exclusion/,n/a,FactSet,n/a,88
"Travelers Companies, The (dba Travelers Indemnity Company)",Y,NY,"30,800",1853,Alan D. Schnitzer,TRV,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,9,"29,151.00",2019,https://www.travelers.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,89
UBS,Y,Switzerland,"61,253",1998,Sergio Ermotti,UBS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,"28,889.00",2019,https://www.ubs.com/us/en.html,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,90
Arrow Electronics,Y,CO,"20,100",1935,Michael J. .Long,ARW,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"28,665.20",2019,https://www.fiveyearsout.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,91
Northwestern Mutual Life Insurance,Y,WI,"5,600",1857,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,12,"28,500.00",2018,http://www.northwesternmutual.com,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,92
Barclays,Y,United Kingdom,"83,500",1690,Jes Staley,BCS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"28,238.40",2019,https://www.home.barclays/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,93
"Linde Group, The",Y,Germany,"58,000",1879,Steve Angel,LIN-DE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,7,"28,165.60",2019,https://www.the-linde-group.com/,See Linde Gas North America,n/a,See corrections source,FactSet,n/a,94
Hochtief,Y,Germany,"64,313",1875,Marcelino Fernandez Verdes,HOT-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,13,"28,048.00",2019,https://www.hochtief.com,See Turner Construction,n/a,n/a,FactSet,http://www.hochtief.com/hochtief_en/956.jhtml,95
ABB Group,Y,Switzerland,"147,000",1988,Peter Voser,ABB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"27,978.00",2019,https://new.abb.com/,See Thomas & Betts,n/a,n/a,FactSet,n/a,96
Ferguson (formerly Wolseley),Y,Switzerland,"33,511",1887,Kevin Murphy,FERG-GB,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,8,"27,393.60",2019,http://www.fergusonplc.com/en/index.html,See Ferguson Enterprises,n/a,n/a,FactSet,n/a,97
NEC Corporation,Y,Japan,"107,729",1899,Takashi Niino,6701-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Y,n/a,12,"27,085.40",2019,https://www.necam.com/,https://www.necam.com/AdvancedRecognitionSystems/LawEnforcement/,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,http://www.ijis.org/?page=sustaining_members,98
CRH,Y,Ireland,"89,831",1970,Albert Manifold,CRH-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,12,"26,896.30",2019,http://www.crh.com/,See Oldcastle Precast,n/a,n/a,FactSet,n/a,99
Bristol-Myers Squibb,Y,NY,"23,700",1887,"Giovanni Caforio, M.D.",BMY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"26,145.00",2019,https://www.bms.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,100
US Foods,Y,IL,"25,000",1989,Pietro Satriano,USFD,Tier 1b - Publicly Traded - Other,Food & Commissary,Prison Food,n/a,n/a,9,"25,939.00",2019,https://www.usfoods.com/,California Spending Data - 2018,n/a,n/a,FactSet,n/a,101
Thermo Fisher Scientific ,Y,MA,"70,000",1956,Marc Casper ,TMO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,11,"25,542.00",2019,https://www.thermofisher.com/,See IntegenX,n/a,n/a,FactSet,https://www.fishersci.com/us/en/products/I9C8KNT5/first-responder-equipment-supplies.html?nav=118212,102
Duke Energy,Y,NC,"29,060",1904,Lynn J. Good,DUK,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"25,079.00",2019,https://www.duke-energy.com/,OH DRC Spending,n/a,n/a,FactSet,n/a,103
Sodexo (formerly Kaylyx),Y,France,"427,000",1966,Denis Machuel,SDXAY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,Private Prison Operator,Y,Y,15,"24,247.10",2019,https://www.sodexo.com/,See Sodexo Justice Services,https://worthrises.org/immigration,Adult private facility operator,FactSet,http://investigate.afsc.org/company/sodexo-sa,104
Johnson Controls,Y,WI,"121,000",1885,George R. Oliver,JCI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,Y,n/a,12,"23,968.00",2019,http://www.johnsoncontrols.com/,http://www.johnsoncontrols.com/insights/2015/building-efficiency/case-study/indiana-department-of-corrections,https://worthrises.org/immigration,n/a,FactSet,n/a,105
CBRE,Y,CA,"80,000",1906,Robert E. Sulentic,CBRE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,11,"23,894.10",2019,https://www.cbre.com/,FL DOC Spending,n/a,n/a,FactSet,n/a,106
Air Liquide,Y,France,"67,000",1902,Benoît Potier,AIQUY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,7,"23,782.10",2019,https://www.airliquide.com/,See Airgas,n/a,n/a,FactSet,n/a,107
Cummins,Y,IN,"58,600",1919,Tom Linebarger,CMI,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,9,"23,571.00",2019,https://www.cummins.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,108
US Bancorp (dba US Bank),Y,MN,400,1968,AndrewCecere,USB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",Y,Y,9,"22,986.00",2019,https://www.usbank.com/index.html,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,https://www.greenamerica.org/hidden-workers-fighting-change/sale-now-prison-labor,FactSet,n/a,109
BAE Systems,Y,United Kingdom,"85,800",1996,Charles Woodburn,BA-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,15,"22,782.40",2019,https://www.baesystems.com/,See Fairchild Imagery,n/a,n/a,FactSet,n/a,110
Fujifilm,Y,Japan,"78,501",1934,Shigetaka Komori,4901-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"22,604.80",2019,http://www.fujifilm.com/,See Xerox,n/a,n/a,FactSet,n/a,111
Sonepar,Y,France,"43,000",1969,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Utility/Energy,n/a,n/a,"n/a,","22,560.40",2016,http://www.sonepar.com,See Crawford Electric Supply,n/a,n/a,PrivCo (www.privco.com),n/a,112
Gilead Sciences,Y,CA,"10,000",1987,Daniel O'Day,GILD,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"22,449.00",2019,http://www.gilead.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,FactSet,n/a,113
CenturyLink,Y,LA,"51,000",1968,Jeffrey Storey,CTL,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Telecom,Prison Communications,Y,n/a,12,"22,401.00",2019,http://www.centurylink.com/,http://www.centurylinkcorrections.com/,https://worthrises.org/immigration,n/a,FactSet,n/a,114
International Paper Co,Y,TN,"56,000",1898,Mark Sutton,IP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,9,"22,376.00",2019,http://www.internationalpaper.com/,See Castell,n/a,See corrections source,FactSet,http://www.otcmarkets.com/edgar/GetFilingPdf?FilingID=10518002,115
Henkel,Y,Germany,"53,450",1876,Carsten Knobel,HEN3-DE,Tier 1b - Publicly Traded - Other,Food & Commissary,Commissary,n/a,n/a,8,"21,822.70",2019,https://www.henkel.com/,See Sun Products Corporation,n/a,n/a,FactSet,https://www.henkel-northamerica.com/brands-and-businesses/laundry-and-home-care/the-sun-products-corporation,116
DowDuPont,Y,DE,"98,000",1802,Jim Fitterling,DWDP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,n/a,n/a,8,"21,512.00",2019,http://www.dow-dupont.com/,"See Solae, Brookdale",n/a,n/a,FactSet,https://www.dow.com/en-us/news/press-releases/dupont-and-dow-to-combine-in-merger-of-equals,117
DXC Technology,Y,VA,"60,000",1959,Mike Salvino,DXC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Corrections Data Systems,Y,n/a,9,"20,753.00",2019,http://www.dxc.technology/,http://www.dxc.technology/gov/success_stories/140213-california_dept_of_corrections,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,118
Fidelity,Y,MA,"42,000",1946,Abigail Johnson,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,12,"20,400.00",2018,https://www.fidelity.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,119
Occidental Petroleum Corp,Y,TX,"11,000",1986,Vicki Hollub,OXY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,7,"20,393.00",2019,http://www.oxy.com/Pages/default.aspx,See Occcidental Chemical Corp (aka OxyChem),n/a,See corrections source,FactSet,http://www.oxy.com/OurBusinesses/Pages/default.aspx,120
AECOM,Y,CA,"87,225",1980,Michael S. Burke,ACM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Architecture & Engineerging,Y,n/a,13,"20,173.30",2019,http://www.aecom.com/,http://www.aecom.com/ca/markets/government/justice/,https://worthrises.org/immigration,n/a,FactSet,n/a,121
NTT Data,Y,Japan,"118,006",1988,Bob Pryor,9613-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"20,114.60",2019,https://www.nttdata.com/global/en/,NYS DOCCS Spending,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,https://us.nttdata.com/en/industries/public-sector,122
Thales,Y,France,"80,000",2000,Patrice Caine,HO.PA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,n/a,n/a,12,"19,964.30",2019,https://www.thalesgroup.com/en,See Cogent Systems,n/a,n/a,FactSet,n/a,123
Performance Food Group,Y,VA,"14,000",1987,George Helm,PFGC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Commissary,n/a,n/a,11,"19,743.50",2019,http://www.pfgc.com/,NYS DOCCS Spending,n/a,n/a,FactSet,http://www.vistar.com/Industries.aspx,124
Bertelsmann,Y,Germany,"117,000",1835,Thomas Rabe,BTG4-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Other,Other,n/a,n/a,8,"19,554.10",2019,https://www.bertelsmann.com/,See Relias Learning,n/a,n/a,PrivCo (www.privco.com),https://www.relias.com/press-room/bertelsmann-to-acquire-relias-learning,125
Genuine Parts Company,Y,GA,"48,000",1928,Paul D. Donahue,GPC,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"19,392.30",2019,https://www.genpt.com/,See Motion Industries,n/a,n/a,FactSet,https://www.genpt.com/mi.html,126
Nutrien,Y,Canada,"20,000",2017,"Charles Victor ""Chuck"" Magro",NTR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,7,"19,255.00",2019,https://www.nutrien.com/,See Crop Production Services,n/a,See corrections source,FactSet,n/a,127
NextEra Energy,Y,FL,"14,000",1984,James Robo,NEE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"19,204.00",2019,http://www.nexteraenergy.com/,See Florida Power & Light,n/a,n/a,FactSet,n/a,128
GE Healthcare,Y,IL,"52,000",1994,n/a,GE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Records Systems,n/a,n/a,7,"19,116.00",2017,http://www3.gehealthcare.com/en,http://www.fusion-ge.com/departments-of-correction/,n/a,n/a,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/ge10-k2017.htm,n/a,129
Fresenius Medical Care,Y,Germany,"112,658",1996,Rice Powell,FMS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,9,"18,702.30",2019,https://fmcna.com/,http://correctionsmarketplace.com/,n/a,n/a,FactSet,n/a,130
National Grid,Y,United Kingdom,"22,000",1990,John Pettigrew,NGG-GB,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"18,585.60",2019,https://www.nationalgridus.com/Upstate-NY-Business/Default,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,131
Royal Bank of Scotland,Y,United Kingdom,n/a,1727,Ross McEwan,RBS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,7,"18,549.60",2019,https://www.rbs.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,132
CDW,Y,IL,n/a,1984,Christine A. Leahy,CDW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,11,"18,032.40",2019,https://www.cdw.com/,FL DOC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,133
Danaher,Y,DC,"67,000",1969,"Thomas P. Joyce, Jr.",DHR,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,7,"17,911.10",2019,http://www.danaher.com/,See ChemTreat,n/a,n/a,FactSet,http://www.danaher.com/our-businesses/business-directory,134
Sherwin Williams,Y,OH,"52,695",1866,John G. Morikis,SHW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,Y,10,"17,900.80",2019,https://www.sherwin-williams.com/,TDCJ Spending,n/a,See corrections source,FactSet,n/a,135
PNC Bank,Y,PA,"52,906",1982,William S. Demchak,PNC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Agency Payment Processing,n/a,n/a,9,"17,827.00",2019,https://www.pnc.com/,NYS DOCCS Spending,n/a,n/a,FactSet,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,136
Fairfax Financial,Y,Canada,n/a,1985,Mark Thompson,FRFHF,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Bail & Surety,n/a,n/a,12,"17,511.20",2019,https://www.fairfax.ca/,https://www.aclu.org/report/selling-our-freedom-how-insurance-corporations-have-taken-over-our-bail-system,n/a,n/a,FactSet,n/a,137
Salesforce,Y,CA,"29,000",1999,Marc Benioff,CRM,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,8,"17,098.00",2020,https://www.salesforce.com,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,138
Trane,Y,WI,,1913,n/a,IR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"17,000.00",2008,http://www.trane.com/,https://tranemidamerica.com/portfolio-government/,n/a,n/a,https://www.reuters.com/article/us-trane-ingersollrand/ingersoll-rand-to-buy-trane-in-cash-stock-deal-idUSL175747620071217,n/a,139
